100133,1,1,3,R,2,2,2,2,1,2,2,2,2, ,2, , , , , ,1,3,2,2,83,5,2,1,2, , ,1,.289033948560002
100136,1,42,1,U,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,1,86,6,2,1,5, , ,1,.289033948560002
100139,1,13,3,S,1,2,2,2,1,1,1,1, , , ,2, ,3,3,3,1,3,2,1,39,4,2,1,5, , ,2.12,.612751970947204
100143,1,5,3,U,2,2,1,1,1,1,2,2,1,1,2, , , , , ,4,3,1,2,48,3,2,1,5,THEY FOLLOW TO MUCH, ,2.68,.774610982140805
100146,1,40,3,R,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,1,75,3,2,2,2, , ,2.12,.612751970947204
100149,1,18,2,S,2,2,2,2,1,1,2,2,1,8,2, , , , , ,1,3,2,2,84,3,2,1,99, , ,1,.289033948560002
100150,1,8,4,S,1,1,1,1,1,1,1,1, , , ,1,1,2,2,2,2,1,1,1,43,9,2,1,9, ,TIRED OF THE STUPID COMMENTS,2.32,.670558760659204
100157,1,34,1,S,2,2,1,2,1,1,1,1, , , ,2, ,3,3,3,2,2,1,2,49,4,2,1,7, , ,3.4,.982715425104006
100160,1,24,3,S,2,2,2,2,2,2,2, , , , , , , , , ,1,2,2,1,67,3,2,1,99, , ,1.68,.485577033580803
100161,1,4,4,U,1,2,2,1,1,1,2,2,1,1,1, , , , , ,1,3,2,2,79,3,2,1,3,I WAS GETTING EMAILS FROM PEOPLE I DONT KNOW, ,1.16,.335279380329602
100166,1,8,4,S,2,2,2,2,1,1,2,1, , , ,2, ,1,3,3,1,3,2,2,69,6,2,1,2, , ,1,.289033948560002
100171,1,25,1,U,1,2,2,2,1,1,1,1, , , ,1,1,2,3,2,3,1,1,2,25,5,2,1,5, ,IT''S ADDICTION,5.08,1.46829245868481
100176,1,9,1,S,2,2,2,2,1,2,2,2,2, ,2, , , , , ,1,2,2,1,56,3,2,1,2, , ,2.2,.635874686832004
100181,1,5,3,U,2,2,2,2,1,1,1,1, , , ,1,1,2,2,3,2,3,1,2,20,4,2,2,1, ,IT''S TALKIN ABOUT PEOPLE...NO GOOD THINGS.,3.12,.901785919507206
100188,1,13,3,U,2,1,2,1,2,2,1,2,2, ,2, , , , , ,3,3,2,2,63,8,2,2,6, , ,2.68,.774610982140805
100190,1,21,3,S,2,2,2,2,2,1,2,2,2, ,2, , , , , ,3,3,2,2,78,5,2,1,99, , ,1.92,.554945181235204
100193,1,31,2,R,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,1,2,1,58,6,2,1,6, , ,1.32,.381524812099203
100200,1,40,3,S,1,1,2,2,1,1,1,1, , , ,1,1,3,3,2,2,1,2,2,45,4,2,1,7, ,I WENT TO ITALY.,4.04,1.16769715218241
100202,1,30,4,U,1,1,1,1,1,1,1,1, , , ,1,1,3,2,2,2,3,1,2,30,6,2,1,7, ,SPEND TO TIME MUCH,2.72,.786172340083205
100205,1,35,4,R,2,2,2,2,1,1,2,1, , , ,1,1,2,2,2,1,3,2,2,51,3,2,1,1, ,"FAMILY, SICKNESS OR TRAVELING",2.32,.670558760659204
100207,1,46,2,S,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,2,80,4,2,1,1, , ,1,.289033948560002
100209,1,49,4,U,2,2,2,2,1,1,2,2,1,1,2, , , , , ,1,2,2,2,48,8,2,1,3,NEVER MENT TO BE ON FACEBOOK..PEER PREESURE AT THE TIME, ,1.12,.323718022387202
100217,1,51,3,S,2,2,2,2,2,2,2, , , , , , , , , ,2,3,2,1,97,1,2,2,2, , ,7.8,2.25446479876801
100218,1,12,3,S,1,2,2,2,1,1,1,1, , , ,2, ,3,3,3,2,2,2,2,63,5,2,1,6, , ,2.64,.763049624198405
100223,1,12,3,S,1,2,2,2,1,1,2,2,1,1,2, , , , , ,2,3,2,2,99,3,2,1,6,ALOT OF CRAP ON THERE, ,2.44,.705242834486405
100242,1,4,4,U,2,1,2,2,1,1,1,1, , , ,1,1,1,1,3,1,2,2,2,53,8,2,1,7, ,JUST WAS ON VACATION OR TAKING TIME OUT,1.36,.393086170041603
100247,1,18,2,U,2,1,2,2,2,2,1,2,1,1,2, , , , , ,3,3,2,2,65,6,2,1,9,RETIRED, ,1.6,.462454317696003
100249,1,42,1,S,2,2,2,2,1,1,1,2,2, ,2, , , , , ,2,2,2,1,69,8,2,1,99, , ,1.68,.485577033580803
100266,1,35,4,R,2,2,2,2,1,2,1,2,2, ,2, , , , , ,3,3,2,2,66,6,2,5,4, , ,2.12,.612751970947204
100267,1,46,2,R,2,2,2,2,2,2,2, , , , , , , , , ,1,3,1,1,61,3,2,5,1, , ,1.6,.462454317696003
100270,1,48,3,U,2,2,2,2,1,1,2,1, , , ,2, ,2,3,3,1,1,2,1,45,5,2,1,4, , ,1.32,.381524812099203
100280,1,4,4,U,2,2,2,1,1,1,1,1, , , ,2, ,3,3,3,2,2,1,2,41,4,1,6,3, , ,5.72,1.65327418576321
100285,1,36,1,S,2,2,1,1,1,1,1,2,2, ,2, , , , , ,2,1,1,1,45,8,2,1,7, , ,2.72,.786172340083205
100287,1,48,3,S,2,2,2,2,2,2,2, , , , , , , , , ,2,3,2,2,80,3,2,1,1, , ,4.16,1.20238122600961
100290,1,48,3,U,1,2,1,1,1,1,1,1, , , ,2, ,3,3,3,2,1,1,2,48,5,2,2,6, , ,2.84,.820856413910405
100300,1,45,3,S,2,1,1,2,1,1,1,1, , , ,1,1,2,2,3,2,1,2,2,52,8,2,1,6, ,I THINK ITS A WASTE OF TIME.,2.72,.786172340083205
100304,1,53,4,S,2,2,2,2,1,2,2,2,2, ,2, , , , , ,2,3,2,2,73,6,2,1,3, , ,2.64,.763049624198405
100308,1,51,3,S,2,1,1,1,1,1,1,2,1,1,2, , , , , ,2,1,2,2,56,5,2,1,7,NO NEED, ,2.96,.855540487737605
100309,1,37,3,R,2,2,2,2,1,2,2,2,2, ,2, , , , , ,2,1,1,1,40,5,2,1,8, , ,4.04,1.16769715218241
100316,1,42,1,S,2,2,2,1,2,2,2, , , , , , , , , ,2,1,2,1,58,3,2,1,99, , ,4.16,1.20238122600961
100327,1,6,4,S,1,2,1,1,1,1,1,1, , , ,2, ,3,3,3,2,1,1,1,33,3,2,1,8, , ,3.6,1.04052221481601
100330,1,6,4,U,2,1,1,1,1,1,1,1, , , ,2, ,3,2,3,3,1,2,1,19,3,1,6,6, , ,2.64,.763049624198405
100331,1,29,2,R,2,2,2,2,1,1,1,2,2, ,2, , , , , ,1,1,2,2,99,6,2,1,99, , ,1,.289033948560002
100333,1,12,3,U,2,2,2,2,1,1,2,1, , , ,2, ,3,3,3,2,3,2,2,53,3,2,1,5, , ,4.32,1.24862665777921
100338,1,6,4,U,2,1,2,1,1,1,1,1, , , ,1,1,2,2,2,3,3,2,1,18,3,2,1,9, ,I JUST WANTED TO STOP USING IT SO I DEACTIVATED IT.,1.68,.485577033580803
100341,1,13,3,R,1,1,2,2,1,1,1,1, , , ,2, ,3,2,3,2,3,2,2,66,4,2,1,7, , ,1.4,.404647527984003
100342,1,1,3,U,2,2,2,2,1,1,2,1, , , ,1,1,3,3,3,2,1,2,1,52,6,2,1,1, ,ALOT OF GARBAGE ON IT,1.8,.520261107408003
100358,1,6,4,U,2,1,2,1,1,1,1,1, , , ,2, ,2,2,3,2,1,1,1,43,6,2,3,8, , ,3.4,.982715425104006
100361,1,6,4,U,2,1,2,1,1,1,1,1, , , ,1,1,2,2,2,1,2,1,2,33,5,2,2,1, ,CRAZY FRIENDS. I DID NOT WANT TO BE CONTACTED.,1.6,.462454317696003
